L,Beta,r,G(r),g(r)
200,0.20,76,0.00,0.00
200,0.20,77,-0.00,-0.00
200,0.20,78,-0.00,-0.00
200,0.20,79,0.00,0.00
200,0.20,80,-0.00,-0.00
200,0.20,81,-0.00,-0.00
200,0.20,82,0.00,0.00
200,0.20,83,0.00,0.00
200,0.20,84,0.00,0.00
200,0.20,85,0.00,0.00
200,0.20,86,0.00,-0.00
200,0.20,87,0.00,0.00
200,0.20,88,0.00,0.00
200,0.20,89,-0.00,-0.00
200,0.20,90,-0.00,-0.00
200,0.20,91,0.00,-0.00
200,0.20,92,-0.00,-0.00
200,0.20,93,-0.00,-0.00
200,0.20,94,-0.00,-0.00
200,0.20,95,-0.00,-0.00
200,0.20,96,0.00,0.00
200,0.20,97,-0.00,-0.00
200,0.20,98,-0.00,-0.00
200,0.20,99,-0.00,-0.00
200,0.20,100,0.00,0.00
200,0.30,0,1.00,1.00
200,0.30,1,0.28,0.28
200,0.30,2,0.12,0.12
200,0.30,3,0.05,0.05
200,0.30,4,0.02,0.02
200,0.30,5,0.01,0.01
200,0.30,6,0.00,0.00
200,0.30,7,0.00,0.00
200,0.30,8,0.00,0.00
200,0.30,9,0.00,0.00
200,0.30,10,-0.00,-0.00
200,0.30,11,-0.00,-0.00
200,0.30,12,0.00,0.00
200,0.30,13,0.00,0.00
200,0.30,14,-0.00,-0.00
200,0.30,15,0.00,0.00
200,0.30,16,0.00,0.00
200,0.30,17,0.00,0.00
200,0.30,18,0.00,0.00
200,0.30,19,0.00,0.00
200,0.30,20,0.00,0.00
200,0.30,21,0.00,0.00
200,0.30,22,0.00,0.00
200,0.30,23,0.00,0.00
200,0.30,24,0.00,0.00
200,0.30,25,0.00,0.00
200,0.30,26,0.00,0.00
200,0.30,27,0.00,0.00
200,0.30,28,0.00,0.00
200,0.30,29,0.00,0.00
200,0.30,30,0.00,0.00
200,0.30,31,0.00,0.00
200,0.30,32,0.00,0.00
200,0.30,33,0.00,0.00
200,0.30,34,0.00,0.00
200,0.30,35,0.00,0.00
200,0.30,36,0.00,0.00
200,0.30,37,0.00,0.00
200,0.30,38,0.00,0.00
200,0.30,39,0.00,0.00
200,0.30,40,0.00,0.00
200,0.30,41,-0.00,-0.00
200,0.30,42,-0.00,-0.00
200,0.30,43,-0.00,-0.00
200,0.30,44,-0.00,-0.00
200,0.30,45,-0.00,-0.00
200,0.30,46,0.00,0.00
200,0.30,47,0.00,0.00
200,0.30,48,0.00,0.00
200,0.30,49,-0.00,-0.00
200,0.30,50,-0.00,-0.00
200,0.30,51,-0.00,-0.00
200,0.30,52,-0.00,-0.00
200,0.30,53,-0.00,-0.00
200,0.30,54,-0.00,-0.00
200,0.30,55,0.00,0.00
200,0.30,56,0.00,0.00
200,0.30,57,0.00,0.00
200,0.30,58,0.00,0.00
200,0.30,59,-0.00,-0.00
200,0.30,60,0.00,-0.00
200,0.30,61,0.00,0.00
200,0.30,62,-0.00,-0.00
200,0.30,63,-0.00,-0.00
200,0.30,64,-0.00,-0.00
200,0.30,65,-0.00,-0.00
200,0.30,66,-0.00,-0.00
200,0.30,67,-0.00,-0.00
200,0.30,68,-0.00,-0.00
200,0.30,69,-0.00,-0.00
200,0.30,70,-0.00,-0.00
200,0.30,71,-0.00,-0.00
200,0.30,72,0.00,-0.00
200,0.30,73,0.00,0.00
200,0.30,74,0.00,0.00
200,0.30,75,0.00,0.00
200,0.30,76,0.00,0.00
200,0.30,77,0.00,0.00
200,0.30,78,0.00,0.00
200,0.30,79,0.00,0.00
200,0.30,80,0.00,0.00
200,0.30,81,-0.00,-0.00
200,0.30,82,-0.00,-0.00
200,0.30,83,-0.00,-0.00
200,0.30,84,0.00,-0.00
200,0.30,85,0.00,-0.00
200,0.30,86,0.00,0.00
200,0.30,87,0.00,0.00
200,0.30,88,-0.00,-0.00
200,0.30,89,0.00,-0.00
200,0.30,90,0.00,0.00
200,0.30,91,0.00,0.00
200,0.30,92,0.00,-0.00
200,0.30,93,-0.00,-0.00
200,0.30,94,-0.00,-0.00
200,0.30,95,-0.00,-0.00
200,0.30,96,-0.00,-0.00
200,0.30,97,-0.00,-0.00
200,0.30,98,-0.00,-0.00
200,0.30,99,-0.00,-0.00
200,0.30,100,-0.00,-0.00
200,0.40,0,1.00,1.00
200,0.40,1,0.49,0.49
200,0.40,2,0.33,0.33
200,0.40,3,0.25,0.25
200,0.40,4,0.18,0.18
200,0.40,5,0.13,0.13
200,0.40,6,0.10,0.10
200,0.40,7,0.08,0.08
200,0.40,8,0.06,0.06
200,0.40,9,0.05,0.05
200,0.40,10,0.03,0.03
200,0.40,11,0.02,0.02
200,0.40,12,0.02,0.02
200,0.40,13,0.01,0.01
200,0.40,14,0.01,0.01
200,0.40,15,0.01,0.01
200,0.40,16,0.01,0.01
200,0.40,17,0.00,0.00
200,0.40,18,0.00,0.00
200,0.40,19,0.00,0.00
200,0.40,20,0.00,0.00
200,0.40,21,0.00,0.00
200,0.40,22,0.00,0.00
200,0.40,23,0.00,0.00
200,0.40,24,0.01,0.01
200,0.40,25,0.00,0.00
200,0.40,26,0.00,0.00
200,0.40,27,0.00,0.00
200,0.40,28,-0.00,-0.00
200,0.40,29,-0.00,-0.00
200,0.40,30,-0.00,-0.00
200,0.40,31,-0.00,-0.00
200,0.40,32,-0.00,-0.00
200,0.40,33,-0.00,-0.00
200,0.40,34,-0.00,-0.00
200,0.40,35,-0.00,-0.00
200,0.40,36,-0.00,-0.00
200,0.40,37,-0.00,-0.00
200,0.40,38,-0.00,-0.00
200,0.40,39,-0.00,-0.00
200,0.40,40,-0.00,-0.00
200,0.40,41,0.00,-0.00
200,0.40,42,0.00,0.00
200,0.40,43,0.00,0.00
200,0.40,44,0.00,0.00
200,0.40,45,0.00,0.00
200,0.40,46,0.00,0.00
200,0.40,47,0.00,0.00
200,0.40,48,0.00,0.00
200,0.40,49,0.00,0.00
200,0.40,50,0.00,0.00
200,0.40,51,0.00,0.00
200,0.40,52,0.00,0.00
200,0.40,53,0.00,0.00
200,0.40,54,0.00,0.00
200,0.40,55,0.00,0.00
200,0.40,56,0.00,0.00
200,0.40,57,0.00,0.00
200,0.40,58,0.00,0.00
200,0.40,59,0.00,0.00
200,0.40,60,0.00,0.00
200,0.40,61,0.00,0.00
200,0.40,62,-0.00,-0.00
200,0.40,63,0.00,0.00
200,0.40,64,0.00,0.00
200,0.40,65,0.00,0.00
200,0.40,66,0.00,0.00
200,0.40,67,-0.00,-0.00
200,0.40,68,0.00,0.00
200,0.40,69,-0.00,-0.00
200,0.40,70,-0.00,-0.00
200,0.40,71,-0.00,-0.00
200,0.40,72,-0.00,-0.00
200,0.40,73,-0.00,-0.00
200,0.40,74,-0.00,-0.00
200,0.40,75,-0.00,-0.00
200,0.40,76,-0.00,-0.00
200,0.40,77,-0.01,-0.01
200,0.40,78,-0.01,-0.01
200,0.40,79,-0.01,-0.01
200,0.40,80,-0.01,-0.01
200,0.40,81,-0.00,-0.00
200,0.40,82,-0.00,-0.00
200,0.40,83,-0.00,-0.00
200,0.40,84,-0.00,-0.00
200,0.40,85,-0.00,-0.00
200,0.40,86,0.00,0.00
200,0.40,87,0.00,0.00
200,0.40,88,0.00,0.00
200,0.40,89,0.00,0.00
200,0.40,90,0.00,0.00
200,0.40,91,0.00,0.00
200,0.40,92,0.00,0.00
200,0.40,93,0.00,0.00
200,0.40,94,0.00,0.00
200,0.40,95,0.00,0.00
200,0.40,96,0.00,0.00
200,0.40,97,0.00,0.00
200,0.40,98,0.00,0.00
200,0.40,99,0.00,0.00
200,0.40,100,0.00,0.00
200,0.50,0,1.00,0.17
200,0.50,1,0.86,0.03
200,0.50,2,0.84,0.01
200,0.50,3,0.84,0.00
200,0.50,4,0.84,0.00
200,0.50,5,0.84,0.00
200,0.50,6,0.83,0.00
200,0.50,7,0.83,-0.00
200,0.50,8,0.83,-0.00
200,0.50,9,0.83,-0.00
200,0.50,10,0.83,-0.00
200,0.50,11,0.83,-0.00
200,0.50,12,0.83,-0.00
200,0.50,13,0.83,-0.00
200,0.50,14,0.83,0.00
200,0.50,15,0.83,0.00
200,0.50,16,0.83,-0.00
200,0.50,17,0.83,-0.00
200,0.50,18,0.83,-0.00
200,0.50,19,0.83,0.00
200,0.50,20,0.83,0.00
200,0.50,21,0.83,-0.00
200,0.50,22,0.83,-0.00
200,0.50,23,0.83,-0.00
200,0.50,24,0.83,-0.00
200,0.50,25,0.83,0.00
200,0.50,26,0.83,0.00
200,0.50,27,0.84,0.00
200,0.50,28,0.83,0.00
200,0.50,29,0.83,-0.00
200,0.50,30,0.83,0.00
200,0.50,31,0.83,-0.00
200,0.50,32,0.83,0.00
200,0.50,33,0.83,0.00
200,0.50,34,0.83,0.00
200,0.50,35,0.83,-0.00
200,0.50,36,0.83,-0.00
200,0.50,37,0.83,-0.00
200,0.50,38,0.83,-0.00
200,0.50,39,0.83,0.00
200,0.50,40,0.83,0.00
200,0.50,41,0.83,0.00
200,0.50,42,0.83,-0.00
200,0.50,43,0.83,-0.00
200,0.50,44,0.83,0.00
200,0.50,45,0.83,0.00
200,0.50,46,0.83,0.00
200,0.50,47,0.83,0.00
200,0.50,48,0.83,0.00
200,0.50,49,0.83,0.00
200,0.50,50,0.84,0.00
200,0.50,51,0.83,0.00
200,0.50,52,0.84,0.00
200,0.50,53,0.84,0.00
200,0.50,54,0.84,0.00
200,0.50,55,0.83,0.00
200,0.50,56,0.83,-0.00
200,0.50,57,0.83,-0.00
200,0.50,58,0.83,0.00
200,0.50,59,0.83,0.00
200,0.50,60,0.83,-0.00
200,0.50,61,0.83,-0.00
200,0.50,62,0.83,-0.00
200,0.50,63,0.83,-0.00
200,0.50,64,0.83,-0.00
200,0.50,65,0.83,-0.00
200,0.50,66,0.83,-0.00
200,0.50,67,0.83,0.00
200,0.50,68,0.83,0.00
200,0.50,69,0.83,-0.00
200,0.50,70,0.83,0.00
200,0.50,71,0.83,-0.00
200,0.50,72,0.83,-0.00
200,0.50,73,0.83,-0.00
200,0.50,74,0.83,-0.00
200,0.50,75,0.83,-0.00
200,0.50,76,0.83,-0.00
200,0.50,77,0.83,-0.00
200,0.50,78,0.83,-0.00
200,0.50,79,0.83,-0.00
200,0.50,80,0.83,-0.00
200,0.50,81,0.83,-0.00
200,0.50,82,0.83,-0.00
200,0.50,83,0.83,-0.00
200,0.50,84,0.83,-0.00
200,0.50,85,0.83,-0.00
200,0.50,86,0.83,-0.00
200,0.50,87,0.83,-0.00
200,0.50,88,0.83,-0.00
200,0.50,89,0.83,0.00
200,0.50,90,0.83,0.00
200,0.50,91,0.83,0.00
200,0.50,92,0.83,0.00
200,0.50,93,0.83,-0.00
200,0.50,94,0.83,-0.00
200,0.50,95,0.83,-0.00
200,0.50,96,0.83,-0.00
200,0.50,97,0.83,-0.00
200,0.50,98,0.83,-0.00
200,0.50,99,0.83,-0.00
200,0.50,100,0.83,-0.00
200,0.60,0,1.00,0.05
200,0.60,1,0.95,0.00
200,0.60,2,0.95,0.00
200,0.60,3,0.95,-0.00
200,0.60,4,0.95,-0.00
200,0.60,5,0.95,0.00
200,0.60,6,0.95,0.00
200,0.60,7,0.95,-0.00
200,0.60,8,0.95,-0.00
200,0.60,9,0.95,-0.00
200,0.60,10,0.95,0.00
200,0.60,11,0.95,0.00
200,0.60,12,0.95,-0.00
200,0.60,13,0.95,-0.00
200,0.60,14,0.95,-0.00
200,0.60,15,0.95,-0.00
200,0.60,16,0.95,0.00
200,0.60,17,0.95,0.00
200,0.60,18,0.95,0.00
200,0.60,19,0.95,-0.00
200,0.60,20,0.95,-0.00
200,0.60,21,0.95,-0.00
200,0.60,22,0.95,0.00
200,0.60,23,0.95,-0.00
200,0.60,24,0.95,0.00
200,0.60,25,0.95,0.00
200,0.60,26,0.95,0.00
200,0.60,27,0.95,-0.00
200,0.60,28,0.95,-0.00
200,0.60,29,0.95,0.00
200,0.60,30,0.95,0.00
200,0.60,31,0.95,0.00
200,0.60,32,0.95,-0.00
200,0.60,33,0.95,0.00
200,0.60,34,0.95,0.00
200,0.60,35,0.95,0.00
200,0.60,36,0.95,0.00
200,0.60,37,0.95,-0.00
200,0.60,38,0.95,-0.00
200,0.60,39,0.95,-0.00
200,0.60,40,0.95,0.00
200,0.60,41,0.95,-0.00
200,0.60,42,0.95,-0.00
200,0.60,43,0.95,0.00
200,0.60,44,0.95,0.00
200,0.60,45,0.95,0.00
200,0.60,46,0.95,0.00
200,0.60,47,0.95,-0.00
200,0.60,48,0.95,-0.00
200,0.60,49,0.95,0.00
200,0.60,50,0.95,-0.00
200,0.60,51,0.95,-0.00
200,0.60,52,0.95,0.00
200,0.60,53,0.95,0.00
200,0.60,54,0.95,0.00
200,0.60,55,0.95,0.00
200,0.60,56,0.95,0.00
200,0.60,57,0.95,-0.00
200,0.60,58,0.95,-0.00
200,0.60,59,0.95,0.00
200,0.60,60,0.95,-0.00
200,0.60,61,0.95,-0.00
200,0.60,62,0.95,-0.00
200,0.60,63,0.95,-0.00
200,0.60,64,0.95,0.00
200,0.60,65,0.95,0.00
200,0.60,66,0.95,0.00
200,0.60,67,0.95,0.00
200,0.60,68,0.95,-0.00
200,0.60,69,0.95,0.00
200,0.60,70,0.95,-0.00
200,0.60,71,0.95,-0.00
200,0.60,72,0.95,-0.00
200,0.60,73,0.95,0.00
200,0.60,74,0.95,0.00
200,0.60,75,0.95,0.00
200,0.60,76,0.95,0.00
200,0.60,77,0.95,0.00
200,0.60,78,0.95,-0.00
200,0.60,79,0.95,-0.00
200,0.60,80,0.95,-0.00
200,0.60,81,0.95,-0.00
200,0.60,82,0.95,-0.00
200,0.60,83,0.95,0.00
200,0.60,84,0.95,-0.00
200,0.60,85,0.95,-0.00
200,0.60,86,0.95,-0.00
200,0.60,87,0.95,0.00
200,0.60,88,0.95,-0.00
200,0.60,89,0.95,-0.00
200,0.60,90,0.95,-0.00
200,0.60,91,0.95,-0.00
200,0.60,92,0.95,0.00
200,0.60,93,0.95,0.00
200,0.60,94,0.95,0.00
200,0.60,95,0.95,0.00
200,0.60,96,0.95,0.00
200,0.60,97,0.95,0.00
200,0.60,98,0.95,-0.00
200,0.60,99,0.95,-0.00
200,0.60,100,0.95,-0.00
200,0.70,0,1.00,0.02
200,0.70,1,0.98,0.00
200,0.70,2,0.98,0.00
200,0.70,3,0.98,-0.00
200,0.70,4,0.98,-0.00
200,0.70,5,0.98,0.00
200,0.70,6,0.98,0.00
200,0.70,7,0.98,-0.00
200,0.70,8,0.98,-0.00
200,0.70,9,0.98,-0.00
200,0.70,10,0.98,-0.00
200,0.70,11,0.98,-0.00
200,0.70,12,0.98,0.00
200,0.70,13,0.98,-0.00
200,0.70,14,0.98,-0.00
200,0.70,15,0.98,0.00
200,0.70,16,0.98,0.00
200,0.70,17,0.98,-0.00
200,0.70,18,0.98,-0.00
200,0.70,19,0.98,-0.00
200,0.70,20,0.98,-0.00
200,0.70,21,0.98,0.00
200,0.70,22,0.98,-0.00
200,0.70,23,0.98,-0.00
200,0.70,24,0.98,-0.00
200,0.70,25,0.98,-0.00
200,0.70,26,0.98,-0.00
200,0.70,27,0.98,-0.00
200,0.70,28,0.98,0.00
200,0.70,29,0.98,-0.00
200,0.70,30,0.98,-0.00
200,0.70,31,0.98,0.00
200,0.70,32,0.98,-0.00
200,0.70,33,0.98,0.00
200,0.70,34,0.98,0.00
200,0.70,35,0.98,0.00
200,0.70,36,0.98,-0.00
200,0.70,37,0.98,-0.00
200,0.70,38,0.98,0.00
200,0.70,39,0.98,-0.00
200,0.70,40,0.98,-0.00
200,0.70,41,0.98,-0.00
200,0.70,42,0.98,0.00
200,0.70,43,0.98,0.00
200,0.70,44,0.98,-0.00
200,0.70,45,0.98,-0.00
200,0.70,46,0.98,0.00
200,0.70,47,0.98,0.00
200,0.70,48,0.98,-0.00
200,0.70,49,0.98,-0.00
200,0.70,50,0.98,-0.00
200,0.70,51,0.98,-0.00
200,0.70,52,0.98,0.00
200,0.70,53,0.98,-0.00
200,0.70,54,0.98,-0.00
200,0.70,55,0.98,0.00
200,0.70,56,0.98,-0.00
200,0.70,57,0.98,-0.00
200,0.70,58,0.98,0.00
200,0.70,59,0.98,0.00
200,0.70,60,0.98,0.00
200,0.70,61,0.98,0.00
200,0.70,62,0.98,0.00
200,0.70,63,0.98,0.00
200,0.70,64,0.98,0.00
200,0.70,65,0.98,-0.00
200,0.70,66,0.98,-0.00
200,0.70,67,0.98,0.00
200,0.70,68,0.98,0.00
200,0.70,69,0.98,0.00
200,0.70,70,0.98,0.00
200,0.70,71,0.98,-0.00
200,0.70,72,0.98,-0.00
200,0.70,73,0.98,-0.00
200,0.70,74,0.98,0.00
200,0.70,75,0.98,0.00
200,0.70,76,0.98,-0.00
200,0.70,77,0.98,0.00
200,0.70,78,0.98,-0.00
200,0.70,79,0.98,-0.00
200,0.70,80,0.98,-0.00
200,0.70,81,0.98,-0.00
200,0.70,82,0.98,-0.00
200,0.70,83,0.98,-0.00
200,0.70,84,0.98,0.00
200,0.70,85,0.98,-0.00
200,0.70,86,0.98,-0.00
200,0.70,87,0.98,-0.00
200,0.70,88,0.98,-0.00
200,0.70,89,0.98,-0.00
200,0.70,90,0.98,0.00
200,0.70,91,0.98,-0.00
200,0.70,92,0.98,-0.00
200,0.70,93,0.98,0.00
200,0.70,94,0.98,0.00
200,0.70,95,0.98,-0.00
200,0.70,96,0.98,-0.00
200,0.70,97,0.98,-0.00
200,0.70,98,0.98,0.00
200,0.70,99,0.98,0.00
200,0.70,100,0.98,0.00
200,0.80,0,1.00,0.01
200,0.80,1,0.99,0.00
200,0.80,2,0.99,0.00
200,0.80,3,0.99,0.00
200,0.80,4,0.99,-0.00
200,0.80,5,0.99,0.00
200,0.80,6,0.99,0.00
200,0.80,7,0.99,-0.00
200,0.80,8,0.99,-0.00
200,0.80,9,0.99,0.00
200,0.80,10,0.99,0.00
200,0.80,11,0.99,-0.00
200,0.80,12,0.99,-0.00
200,0.80,13,0.99,-0.00
200,0.80,14,0.99,0.00
200,0.80,15,0.99,0.00
200,0.80,16,0.99,0.00
200,0.80,17,0.99,0.00
200,0.80,18,0.99,0.00
200,0.80,19,0.99,0.00
200,0.80,20,0.99,-0.00
200,0.80,21,0.99,-0.00
200,0.80,22,0.99,-0.00
200,0.80,23,0.99,0.00
200,0.80,24,0.99,0.00
200,0.80,25,0.99,0.00
200,0.80,26,0.99,-0.00
200,0.80,27,0.99,0.00
200,0.80,28,0.99,0.00
200,0.80,29,0.99,0.00
200,0.80,30,0.99,-0.00
200,0.80,31,0.99,0.00
200,0.80,32,0.99,-0.00
200,0.80,33,0.99,0.00
200,0.80,34,0.99,0.00
200,0.80,35,0.99,0.00
200,0.80,36,0.99,0.00
200,0.80,37,0.99,-0.00
200,0.80,38,0.99,-0.00
200,0.80,39,0.99,0.00
200,0.80,40,0.99,0.00
200,0.80,41,0.99,-0.00
200,0.80,42,0.99,-0.00
200,0.80,43,0.99,-0.00
200,0.80,44,0.99,-0.00
200,0.80,45,0.99,0.00
200,0.80,46,0.99,-0.00
200,0.80,47,0.99,-0.00
200,0.80,48,0.99,0.00
200,0.80,49,0.99,0.00
200,0.80,50,0.99,-0.00
200,0.80,51,0.99,0.00
200,0.80,52,0.99,0.00
200,0.80,53,0.99,0.00
200,0.80,54,0.99,0.00
200,0.80,55,0.99,-0.00
200,0.80,56,0.99,-0.00
200,0.80,57,0.99,-0.00
200,0.80,58,0.99,-0.00
200,0.80,59,0.99,0.00
200,0.80,60,0.99,-0.00
200,0.80,61,0.99,-0.00
200,0.80,62,0.99,-0.00
200,0.80,63,0.99,0.00
200,0.80,64,0.99,0.00
200,0.80,65,0.99,0.00
200,0.80,66,0.99,0.00
200,0.80,67,0.99,-0.00
200,0.80,68,0.99,-0.00
200,0.80,69,0.99,-0.00
200,0.80,70,0.99,-0.00
200,0.80,71,0.99,-0.00
200,0.80,72,0.99,-0.00
200,0.80,73,0.99,-0.00
200,0.80,74,0.99,0.00
200,0.80,75,0.99,-0.00
200,0.80,76,0.99,0.00
200,0.80,77,0.99,-0.00
200,0.80,78,0.99,-0.00
200,0.80,79,0.99,-0.00
200,0.80,80,0.99,0.00
200,0.80,81,0.99,0.00
200,0.80,82,0.99,-0.00
200,0.80,83,0.99,0.00
200,0.80,84,0.99,-0.00
200,0.80,85,0.99,-0.00
200,0.80,86,0.99,-0.00
200,0.80,87,0.99,0.00
200,0.80,88,0.99,0.00
200,0.80,89,0.99,0.00
200,0.80,90,0.99,-0.00
200,0.80,91,0.99,-0.00
200,0.80,92,0.99,-0.00
200,0.80,93,0.99,-0.00
200,0.80,94,0.99,0.00
200,0.80,95,0.99,-0.00
200,0.80,96,0.99,0.00
200,0.80,97,0.99,-0.00
200,0.80,98,0.99,-0.00
200,0.80,99,0.99,0.00
200,0.80,100,0.99,-0.00
200,0.90,0,1.00,0.00
200,0.90,1,1.00,0.00
200,0.90,2,1.00,-0.00
200,0.90,3,1.00,-0.00
200,0.90,4,1.00,-0.00
200,0.90,5,1.00,0.00
200,0.90,6,1.00,-0.00
200,0.90,7,1.00,0.00
200,0.90,8,1.00,-0.00
200,0.90,9,1.00,0.00
200,0.90,10,1.00,0.00
200,0.90,11,1.00,-0.00
200,0.90,12,1.00,-0.00
200,0.90,13,1.00,0.00
200,0.90,14,1.00,0.00
200,0.90,15,1.00,0.00
200,0.90,16,1.00,-0.00
200,0.90,17,1.00,-0.00
200,0.90,18,1.00,-0.00
200,0.90,19,1.00,0.00
200,0.90,20,1.00,0.00
200,0.90,21,1.00,-0.00
200,0.90,22,1.00,0.00
200,0.90,23,1.00,-0.00
200,0.90,24,1.00,0.00
200,0.90,25,1.00,-0.00
200,0.90,26,1.00,-0.00
200,0.90,27,1.00,-0.00
200,0.90,28,1.00,-0.00
